id_text	id_label
-0.2585488651962552 -0.8570113082739361 -0.8671398797577037 2.3437716179569863 1.5262870130897193 0.2725100459158577 0.44556934795358 0.6410988777783417 1.6590551786978234 -0.16332156433227418	1
0.7452440299119543 0.31350206786037405 0.9099960720581648 -1.0404061941541674 -0.09193985913322245 0.8343798871528516 0.7523704982098209 1.6955055062142979 0.9445383868188719 0.9758716363458521	0
-0.5240663015695219 1.844530692818591 0.732838679027362 0.3474046517068262 -0.4262315560257398 -0.28516457375547133 0.07880498873057667 -0.26291721881120667 0.5192919503949882 0.32256367161168464	0
-1.2849573718094536 -0.22362233606832282 1.3379543032093797 1.2523511439712645 -0.8072829618372959 0.05318216754974864 0.3181213334276662 0.5063263418512318 0.9820295842167457 0.04705149384759527	1
-1.2768900460236579 -0.8768241094930525 1.329108628521427 0.5195806246590848 2.2309041094212105 0.5343530869992285 0.5286324023754727 1.8777416479537217 1.1825408874320185 0.9540080636403792	2
-0.8877177099286788 1.5724176817780906 0.9871616571505363 0.390796622711879 1.0389226416181359 -0.8601780517971938 -1.7080896920681519 0.8964586798154313 0.7194834233473577 1.8469731954312048	2
0.8236890261336813 0.6050945480783896 0.7989958737772246 0.9224009037871835 -0.6008079702577334 0.37533799358055897 0.12702837426059094 1.6554066583822191 0.1900184211678136 1.469977596535808	2
-0.4692501648273053 3.236822800188481 0.8234201384287223 0.7850306485351042 -0.4281912505155735 0.22975561245247172 -0.7342427459109986 -0.457366459810743 2.00436739812786 1.0999084921156141	2
1.1048222694111134 0.5366701418679829 2.2741428675094193 0.6320586193481397 1.6803000539990178 1.0233758351567848 0.40280869976321954 1.583156907889103 1.6988885217059289 -0.0061743032014778265	1
2.036516000544311 0.23729603012756323 -2.266384624360988 -0.5677080723817016 0.548659016903623 1.4571885603438821 0.6894465871560083 0.9365413585377727 -0.013764662983433262 -1.0351978387751126	0
1.4234898111916223 0.22288331057243377 0.5073459160700099 -0.18679956287178412 0.654603390632377 -1.1673788039615707 1.5355545310606857 -0.8022145005238108 0.23337847923421323 -0.30185805727539594	0
-0.10473323891044817 0.8790746757245995 1.521413931273388 0.4006244912740101 -0.535463508460374 -0.4816355446459394 1.5867865072586553 0.035013184388984986 -0.28459397368787553 1.2449407632894518	1
0.2199033018214478 3.1289102859767337 1.645002274946256 1.696568895465553 0.7962214871035644 0.28475883869822805 0.637167762257637 0.5643712382975806 -0.09976266419809687 1.1973423150666431	2
1.9267244154259255 -0.5237517761553983 1.0433838748594932 -0.5390256349965636 -0.08565011326736971 1.9182747558844258 1.0447898898889951 0.6682749110171345 -0.5215616209724905 1.5950685505323472	2
1.4826383296267043 -1.2514741037509165 0.5783703774421574 1.3127419621373682 1.317559923314092 1.102216306519801 0.8114845283558991 1.023724500300641 1.0599748251749461 0.8388279893043342	2
0.6886010922357585 0.7490416715865913 1.1358241651064098 0.05536303397401554 -0.21499399346745407 -1.5143620599597347 2.025097406252053 0.7153379840467928 0.04356045427777944 0.5669865612398829	0
-0.5915855188157917 0.023011027436968146 0.6636813429378998 1.587487271426376 0.5026380156928072 2.37284539353454 0.47903249283438737 2.0060427035320036 -0.7507481063754986 0.4536571058396894	2
1.507510211804268 0.9918380185079977 1.1956268243722552 0.7019671821264929 1.610362307302247 1.2777605455284182 -0.37349284521787374 1.4330989326120602 0.5398012386153506 0.6570275120613911	2
-0.5200036684765423 -1.1168605050115996 -0.7021295322005237 0.5474839510674429 -0.2327698625675073 1.1766423336357787 -0.37782653579637393 0.33875504082961017 -1.3821560915643516 -0.17876689417397473	1
0.5630021763941954 1.714430062243372 2.773515540310137 -0.1911174242940905 0.08417806462303784 1.638237045046974 -0.18669021224047744 -0.4543574941853561 1.9721453270853606 1.2605370799200946	0
